id,nametitle,firstnames,lastname,namesuffix,aliases,gradschool,gradschool name,graddegree,gradyear,facultyschool,facultytitle,facultydept,facultyyear
,,,Childress,,,21, Yale University,Doctor of Philosophy (PhD),,57, ,Religious Studies,
,,Mikhail,Ershov,,,21, Yale University,Doctor of Philosophy (PhD),,57,Associate Professor,Mathematics,
,,,Fogarty,,,21, Yale University,Doctor of Philosophy (PhD),,57, Jr. Professor of the History of Christianity ,Religious Studies,
,,,Ochs,,,21, Yale University,Doctor of Philosophy (PhD),,57, ,Religious Studies,
,,Brian,Parshall,,,21, Yale University,Doctor of Philosophy (PhD),,57,G. T. Whyburn Professor,Mathematics,
,,Steven,Stern,,,21, Yale University,Doctor of Philosophy (PhD),,57,Merrill H Bankard Professor of Economics,Economics,
,,Lawrence,Thomas,,,21, Yale University,Doctor of Philosophy (PhD),,57,Professor Emeritus,Mathematics,
,,Ralph,Cohen,,,246,. Columbia,Ph.D,1952,57,William R. Kenan Professor,English,
,,Stephen,Railton,,,246,. Columbia,Ph.D,1975,57,Professor,English,
,,Stephen,Arata,,,122,Chicago ,Ph.D. ,1990,57,Professor,English,
,,Bruce,Holsinger,,,246,Columbia,Ph.D. ,1996,57,Professor,English,
,,,Mathewes,,,122,University of Chicago,PhD,1997,57, ,Religious Studies,
,,Hallie, Smith Richmond,,,57,University of Virginia,Ph.D.,2009,57,Lecturer,English,
,,Peter,Baker,,,21,Yale ,Ph.D. ,1978,57,Professor,English,
,,Ala,Abdelbaki,,,,,None,,57,Lecturer,Mathematics,
,,Jane,Alison,,,,,None,,57,Professor,English,
,,Martin,Battestin,,,,,None,,57,Emeritus,English,
,,Sydney,Blair,,,,,None,,57,Associate Professor,English,
,,Paul,Bourdon,,,,,None,,57,Lecturer,Mathematics,
,,John,Casey,,,,,None,,57,Henry Hoyns Professor,English,
,,John T.,Casteen,,,,,None,,57, Professor of English  President Emeritus,English,
,,Sarah,Cole,,,,,None,,57,Assistant Professor and Assistant Dean,English,
,,Elizabeth,Denton,,,,,None,,57,Lecturer,English,
,,Yen,Do,,,,,None,,57,Assistant Professor,Mathematics,
,,Keith,Driver,,,,,None,,57,Lecturer in English,English,
,,Hoyt,Duggan,,,,,None,,57,Emeritus,English,
,,Charles,Dunkl,,,,,None,,57,Professor Emeritus,Mathematics,
,,John,Faulkner,,,,,None,,57,Professor Emeritus,Mathematics,
,,Lisa,Goff,,,,,None,,57,Lecturer,English,
,,K. Ian,Grandison,,,,,None,,57,University Professor,English,
,,Paul,Guest,,,,,None,,57,Assistant Professor,English,
,,Kevin,Hart,,,,,None,,57,Edwin B. Kyle Professor of Christian Studies; Professor,English,
,,David,Hill,,,,,None,,57,Instructor,Mathematics,
,,E. D.,Hirsch,,,,,None,,57,Emeritus,English,
,,Alan,Howard,,,,,None,,57,Emeritus,English,
,,James,Howland,,,,,None,,57,Professor Emeritus,Mathematics,
,,Craig,Huneke,,,,,None,,57,Marvin Rosenblum Professor & Chair,Mathematics,
